"id_serie","fecha","mes","anio","sector","valor"
4,2012-01-01,"enero","2012","Autonomos",408
4,2012-02-01,"febrero","2012","Autonomos",408
4,2012-03-01,"marzo","2012","Autonomos",408
4,2012-04-01,"abril","2012","Autonomos",408
4,2012-05-01,"mayo","2012","Autonomos",408
4,2012-06-01,"junio","2012","Autonomos",408
4,2012-07-01,"julio","2012","Autonomos",408
4,2012-08-01,"agosto","2012","Autonomos",408
4,2012-09-01,"septiembre","2012","Autonomos",408
4,2012-10-01,"octubre","2012","Autonomos",408
4,2012-11-01,"noviembre","2012","Autonomos",409
4,2012-12-01,"diciembre","2012","Autonomos",410
4,2013-01-01,"enero","2013","Autonomos",411
4,2013-02-01,"febrero","2013","Autonomos",420
4,2013-03-01,"marzo","2013","Autonomos",422
4,2013-04-01,"abril","2013","Autonomos",424
4,2013-05-01,"mayo","2013","Autonomos",424
4,2013-06-01,"junio","2013","Autonomos",424
4,2013-07-01,"julio","2013","Autonomos",426
4,2013-08-01,"agosto","2013","Autonomos",428
4,2013-09-01,"septiembre","2013","Autonomos",429
4,2013-10-01,"octubre","2013","Autonomos",429
4,2013-11-01,"noviembre","2013","Autonomos",426
4,2013-12-01,"diciembre","2013","Autonomos",424
4,2014-01-01,"enero","2014","Autonomos",424
4,2014-02-01,"febrero","2014","Autonomos",421
4,2014-03-01,"marzo","2014","Autonomos",424
4,2014-04-01,"abril","2014","Autonomos",424
4,2014-05-01,"mayo","2014","Autonomos",421
4,2014-06-01,"junio","2014","Autonomos",417
4,2014-07-01,"julio","2014","Autonomos",416
4,2014-08-01,"agosto","2014","Autonomos",413
4,2014-09-01,"septiembre","2014","Autonomos",411
4,2014-10-01,"octubre","2014","Autonomos",408
4,2014-11-01,"noviembre","2014","Autonomos",407
4,2014-12-01,"diciembre","2014","Autonomos",407
4,2015-01-01,"enero","2015","Autonomos",407
4,2015-02-01,"febrero","2015","Autonomos",412
4,2015-03-01,"marzo","2015","Autonomos",411
4,2015-04-01,"abril","2015","Autonomos",412
4,2015-05-01,"mayo","2015","Autonomos",412
4,2015-06-01,"junio","2015","Autonomos",412
4,2015-07-01,"julio","2015","Autonomos",411
4,2015-08-01,"agosto","2015","Autonomos",410
4,2015-09-01,"septiembre","2015","Autonomos",410
4,2015-10-01,"octubre","2015","Autonomos",409
4,2015-11-01,"noviembre","2015","Autonomos",408
4,2015-12-01,"diciembre","2015","Autonomos",407
4,2016-01-01,"enero","2016","Autonomos",407
4,2016-02-01,"febrero","2016","Autonomos",408
4,2016-03-01,"marzo","2016","Autonomos",409
4,2016-04-01,"abril","2016","Autonomos",410
4,2016-05-01,"mayo","2016","Autonomos",417
4,2016-06-01,"junio","2016","Autonomos",420
4,2016-07-01,"julio","2016","Autonomos",417
4,2016-08-01,"agosto","2016","Autonomos",416
4,2016-09-01,"septiembre","2016","Autonomos",415
4,2016-10-01,"octubre","2016","Autonomos",414
4,2016-11-01,"noviembre","2016","Autonomos",413
4,2016-12-01,"diciembre","2016","Autonomos",411
4,2017-01-01,"enero","2017","Autonomos",408
4,2017-02-01,"febrero","2017","Autonomos",405
4,2017-03-01,"marzo","2017","Autonomos",403
4,2017-04-01,"abril","2017","Autonomos",400
4,2017-05-01,"mayo","2017","Autonomos",401
4,2017-06-01,"junio","2017","Autonomos",400
4,2017-07-01,"julio","2017","Autonomos",400
4,2017-08-01,"agosto","2017","Autonomos",399
4,2017-09-01,"septiembre","2017","Autonomos",399
4,2017-10-01,"octubre","2017","Autonomos",402
4,2017-11-01,"noviembre","2017","Autonomos",402
4,2017-12-01,"diciembre","2017","Autonomos",403
4,2018-01-01,"enero","2018","Autonomos",403
4,2018-02-01,"febrero","2018","Autonomos",403
4,2018-03-01,"marzo","2018","Autonomos",403
4,2018-04-01,"abril","2018","Autonomos",404
4,2018-05-01,"mayo","2018","Autonomos",403
4,2018-06-01,"junio","2018","Autonomos",404
4,2018-07-01,"julio","2018","Autonomos",403
4,2018-08-01,"agosto","2018","Autonomos",400
4,2018-09-01,"septiembre","2018","Autonomos",400
4,2018-10-01,"octubre","2018","Autonomos",400
4,2018-11-01,"noviembre","2018","Autonomos",399
4,2018-12-01,"diciembre","2018","Autonomos",399
4,2019-01-01,"enero","2019","Autonomos",401
4,2019-02-01,"febrero","2019","Autonomos",400
4,2019-03-01,"marzo","2019","Autonomos",400
4,2019-04-01,"abril","2019","Autonomos",399
4,2019-05-01,"mayo","2019","Autonomos",399
4,2019-06-01,"junio","2019","Autonomos",398
4,2019-07-01,"julio","2019","Autonomos",397
4,2019-08-01,"agosto","2019","Autonomos",400
4,2019-09-01,"septiembre","2019","Autonomos",400
4,2019-10-01,"octubre","2019","Autonomos",399
4,2019-11-01,"noviembre","2019","Autonomos",404
4,2019-12-01,"diciembre","2019","Autonomos",404
4,2020-01-01,"enero","2020","Autonomos",402
4,2020-02-01,"febrero","2020","Autonomos",398
4,2020-03-01,"marzo","2020","Autonomos",392
4,2020-04-01,"abril","2020","Autonomos",385
4,2020-05-01,"mayo","2020","Autonomos",381
4,2020-06-01,"junio","2020","Autonomos",382
4,2020-07-01,"julio","2020","Autonomos",392
4,2020-08-01,"agosto","2020","Autonomos",392
4,2020-09-01,"septiembre","2020","Autonomos",391
4,2020-10-01,"octubre","2020","Autonomos",385
4,2020-11-01,"noviembre","2020","Autonomos",380
4,2020-12-01,"diciembre","2020","Autonomos",377
4,2021-01-01,"enero","2021","Autonomos",376
4,2021-02-01,"febrero","2021","Autonomos",378
4,2021-03-01,"marzo","2021","Autonomos",381
4,2021-04-01,"abril","2021","Autonomos",381
4,2021-05-01,"mayo","2021","Autonomos",381
4,2021-06-01,"junio","2021","Autonomos",380
4,2021-07-01,"julio","2021","Autonomos",378
4,2021-08-01,"agosto","2021","Autonomos",384
4,2021-09-01,"septiembre","2021","Autonomos",385
4,2021-10-01,"octubre","2021","Autonomos",385
4,2021-11-01,"noviembre","2021","Autonomos",385
4,2021-12-01,"diciembre","2021","Autonomos",386
4,2022-01-01,"enero","2022","Autonomos",386
