"fecha","mes","anio","id_serie","valor"
1995-01-01,"enero","1995",1,885
1995-02-01,"febrero","1995",1,826
1995-03-01,"marzo","1995",1,826
1995-04-01,"abril","1995",1,785
1995-05-01,"mayo","1995",1,800
1995-06-01,"junio","1995",1,1206
1995-07-01,"julio","1995",1,810
1995-08-01,"agosto","1995",1,806
1995-09-01,"septiembre","1995",1,807
1995-10-01,"octubre","1995",1,809
1995-11-01,"noviembre","1995",1,814
1995-12-01,"diciembre","1995",1,1255
1996-01-01,"enero","1996",1,864
1996-02-01,"febrero","1996",1,816
1996-03-01,"marzo","1996",1,808
1996-04-01,"abril","1996",1,797
1996-05-01,"mayo","1996",1,805
1996-06-01,"junio","1996",1,1173
1996-07-01,"julio","1996",1,801
1996-08-01,"agosto","1996",1,802
1996-09-01,"septiembre","1996",1,804
1996-10-01,"octubre","1996",1,807
1996-11-01,"noviembre","1996",1,800
1996-12-01,"diciembre","1996",1,1207
1997-01-01,"enero","1997",1,851
1997-02-01,"febrero","1997",1,803
1997-03-01,"marzo","1997",1,801
1997-04-01,"abril","1997",1,793
1997-05-01,"mayo","1997",1,799
1997-06-01,"junio","1997",1,1169
1997-07-01,"julio","1997",1,798
1997-08-01,"agosto","1997",1,791
1997-09-01,"septiembre","1997",1,801
1997-10-01,"octubre","1997",1,816
1997-11-01,"noviembre","1997",1,793
1997-12-01,"diciembre","1997",1,1206
1998-01-01,"enero","1998",1,854
1998-02-01,"febrero","1998",1,810
1998-03-01,"marzo","1998",1,817
1998-04-01,"abril","1998",1,807
1998-05-01,"mayo","1998",1,800
1998-06-01,"junio","1998",1,1182
1998-07-01,"julio","1998",1,805
1998-08-01,"agosto","1998",1,802
1998-09-01,"septiembre","1998",1,803
1998-10-01,"octubre","1998",1,818
1998-11-01,"noviembre","1998",1,802
1998-12-01,"diciembre","1998",1,1225
1999-01-01,"enero","1999",1,857
1999-02-01,"febrero","1999",1,821
1999-03-01,"marzo","1999",1,826
1999-04-01,"abril","1999",1,814
1999-05-01,"mayo","1999",1,804
1999-06-01,"junio","1999",1,1189
1999-07-01,"julio","1999",1,807
1999-08-01,"agosto","1999",1,807
1999-09-01,"septiembre","1999",1,810
1999-10-01,"octubre","1999",1,815
1999-11-01,"noviembre","1999",1,809
1999-12-01,"diciembre","1999",1,1225
2000-01-01,"enero","2000",1,871
2000-02-01,"febrero","2000",1,834
2000-03-01,"marzo","2000",1,840
2000-04-01,"abril","2000",1,828
2000-05-01,"mayo","2000",1,813
2000-06-01,"junio","2000",1,1193
2000-07-01,"julio","2000",1,812
2000-08-01,"agosto","2000",1,815
2000-09-01,"septiembre","2000",1,813
2000-10-01,"octubre","2000",1,819
2000-11-01,"noviembre","2000",1,803
2000-12-01,"diciembre","2000",1,1211
2001-01-01,"enero","2001",1,872
2001-02-01,"febrero","2001",1,835
2001-03-01,"marzo","2001",1,844
2001-04-01,"abril","2001",1,822
2001-05-01,"mayo","2001",1,818
2001-06-01,"junio","2001",1,1182
2001-07-01,"julio","2001",1,803
2001-08-01,"agosto","2001",1,809
2001-09-01,"septiembre","2001",1,800
2001-10-01,"octubre","2001",1,809
2001-11-01,"noviembre","2001",1,805
2001-12-01,"diciembre","2001",1,1201
2002-01-02,"enero","2002",1,856
2002-02-02,"febrero","2002",1,852
2002-03-02,"marzo","2002",1,839
2002-04-02,"abril","2002",1,837
2002-05-02,"mayo","2002",1,840
2002-06-02,"junio","2002",1,1205
2002-07-02,"julio","2002",1,869
2002-08-02,"agosto","2002",1,867
2002-09-02,"septiembre","2002",1,869
2002-10-02,"octubre","2002",1,902
2002-11-02,"noviembre","2002",1,886
2002-12-02,"diciembre","2002",1,1317
2003-01-02,"enero","2003",1,980
2003-02-02,"febrero","2003",1,947
2003-03-02,"marzo","2003",1,961
2003-04-02,"abril","2003",1,948
2003-05-02,"mayo","2003",1,948
2003-06-02,"junio","2003",1,1339
2003-07-02,"julio","2003",1,968
2003-08-02,"agosto","2003",1,970
2003-09-02,"septiembre","2003",1,986
2003-10-02,"octubre","2003",1,1019
2003-11-02,"noviembre","2003",1,1013
2003-12-02,"diciembre","2003",1,1521
2004-01-02,"enero","2004",1,1146
2004-02-02,"febrero","2004",1,1131
2004-03-02,"marzo","2004",1,1162
2004-04-02,"abril","2004",1,1132
2004-05-02,"mayo","2004",1,1108
2004-06-02,"junio","2004",1,1594
2004-07-02,"julio","2004",1,1105
2004-08-02,"agosto","2004",1,1107
2004-09-02,"septiembre","2004",1,1110
2004-10-02,"octubre","2004",1,1125
2004-11-02,"noviembre","2004",1,1116
2004-12-02,"diciembre","2004",1,1676
2005-01-02,"enero","2005",1,1278
2005-02-02,"febrero","2005",1,1215
2005-03-02,"marzo","2005",1,1270
2005-04-01,"abril","2005",1,1263
2005-05-01,"mayo","2005",1,1253
2005-06-01,"junio","2005",1,1794
