"id_serie","anio","sexo","valor"
9,"1996","Mujeres",711.8
9,"1997","Mujeres",716.3
9,"1998","Mujeres",724.9
9,"1999","Mujeres",735.1
9,"2000","Mujeres",738.5
9,"2001","Mujeres",737.4
9,"2002","Mujeres",753
9,"2003","Mujeres",847.3
9,"2004","Mujeres",979.5
9,"2005","Mujeres",1143.9
9,"2006","Mujeres",1388.1
9,"2007","Mujeres",1671.7
9,"2008","Mujeres",2172.2
9,"2009","Mujeres",2628.2
9,"2010","Mujeres",3282.1
9,"2011","Mujeres",4350.7
9,"2012","Mujeres",5684.2
9,"2013","Mujeres",7187.4
9,"2014","Mujeres",9554.2
9,"2015","Mujeres",12582.9
9,"2016","Mujeres",16837.6
9,"2017","Mujeres",21910.8
9,"2018","Mujeres",27972
9,"2019","Mujeres",40325.6
9,"2020","Mujeres",56647.7
9,"2021","Mujeres",84558.9
9,"1996","Varones",934.8
9,"1997","Varones",926.8
9,"1998","Varones",938.3
9,"1999","Varones",943.1
9,"2000","Varones",952.9
9,"2001","Varones",948.6
9,"2002","Varones",1008.9
9,"2003","Varones",1140.1
9,"2004","Varones",1309.3
9,"2005","Varones",1521.6
9,"2006","Varones",1850.2
9,"2007","Varones",2244.9
9,"2008","Varones",2902.2
9,"2009","Varones",3493.8
9,"2010","Varones",4434.1
9,"2011","Varones",5847.8
9,"2012","Varones",7570.9
9,"2013","Varones",9603.9
9,"2014","Varones",12636.8
9,"2015","Varones",16548.1
9,"2016","Varones",21963.2
9,"2017","Varones",28339
9,"2018","Varones",36104.2
9,"2019","Varones",52495.9
9,"2020","Varones",72807.5
9,"2021","Varones",108683.7
